date,year,month,day,mean.sst
1/19/18,2018,1,19,0.003291667
1/20/18,2018,1,20,0.023416667
1/21/18,2018,1,21,0.049677083
1/22/18,2018,1,22,0.388458333
1/23/18,2018,1,23,0.193958333
1/24/18,2018,1,24,0.269677083
1/25/18,2018,1,25,0.155395833
1/26/18,2018,1,26,0.250885417
1/27/18,2018,1,27,0.148479167
1/28/18,2018,1,28,0.050802083
1/29/18,2018,1,29,0.087510417
1/30/18,2018,1,30,0.049125
1/31/18,2018,1,31,0.0428125
2/1/18,2018,2,1,0.139291667
2/2/18,2018,2,2,0.021197917
2/3/18,2018,2,3,0.00671875
2/4/18,2018,2,4,0.233520833
2/5/18,2018,2,5,0.024989583
2/6/18,2018,2,6,0.216791667
2/7/18,2018,2,7,0.291697917
2/8/18,2018,2,8,0.2465625
2/9/18,2018,2,9,0.2615
2/10/18,2018,2,10,0.335833333
2/11/18,2018,2,11,0.084916667
2/12/18,2018,2,12,0.270072917
2/13/18,2018,2,13,0.32925
2/14/18,2018,2,14,0.123489583
2/15/18,2018,2,15,0.342489583
2/16/18,2018,2,16,0.091302083
2/17/18,2018,2,17,0.083770833
2/18/18,2018,2,18,0.332708333
2/19/18,2018,2,19,0.237125
2/20/18,2018,2,20,0.100291667
2/21/18,2018,2,21,0.087270833
2/22/18,2018,2,22,0.20415625
2/23/18,2018,2,23,0.14753125
2/24/18,2018,2,24,0.115270833
2/25/18,2018,2,25,0.0971875
2/26/18,2018,2,26,0.047270833
2/27/18,2018,2,27,0.079583333
2/28/18,2018,2,28,0.182697917
3/1/18,2018,3,1,0.162020833
3/2/18,2018,3,2,0.29778125
3/3/18,2018,3,3,0.386229167
3/4/18,2018,3,4,0.375833333
3/5/18,2018,3,5,0.421979167
3/6/18,2018,3,6,0.76546875
3/7/18,2018,3,7,0.789322917
3/8/18,2018,3,8,0.62540625
3/9/18,2018,3,9,0.566947917
3/10/18,2018,3,10,0.642677083
3/11/18,2018,3,11,0.72503125
3/12/18,2018,3,12,0.563791667
3/13/18,2018,3,13,0.582385417
3/14/18,2018,3,14,0.744645833
3/15/18,2018,3,15,0.589395833
3/16/18,2018,3,16,0.704677083
3/17/18,2018,3,17,0.888927083
3/18/18,2018,3,18,0.791416667
3/19/18,2018,3,19,0.686625
3/20/18,2018,3,20,0.685541667
3/21/18,2018,3,21,0.905583333
3/22/18,2018,3,22,0.951520833
3/23/18,2018,3,23,0.939260417
3/24/18,2018,3,24,1.038104167
3/25/18,2018,3,25,0.926125
3/26/18,2018,3,26,0.866135417
3/27/18,2018,3,27,0.711
3/28/18,2018,3,28,0.842489583
3/29/18,2018,3,29,0.805427083
3/30/18,2018,3,30,0.757697917
3/31/18,2018,3,31,0.796625
4/1/18,2018,4,1,0.755729167
4/2/18,2018,4,2,0.731270833
4/3/18,2018,4,3,0.669916667
4/4/18,2018,4,4,0.647302083
4/5/18,2018,4,5,0.710479167
4/6/18,2018,4,6,0.612572917
4/7/18,2018,4,7,0.576260417
4/8/18,2018,4,8,0.503604167
4/9/18,2018,4,9,0.505583333
4/10/18,2018,4,10,0.496833333
4/11/18,2018,4,11,0.587958333
4/12/18,2018,4,12,1.009854167
4/13/18,2018,4,13,1.117989583
4/14/18,2018,4,14,0.830083333
4/15/18,2018,4,15,0.928604167
4/16/18,2018,4,16,0.948510417
4/17/18,2018,4,17,1.162239583
4/18/18,2018,4,18,1.4475625
4/19/18,2018,4,19,1.7825
4/20/18,2018,4,20,1.597885417
4/21/18,2018,4,21,2.077583333
4/22/18,2018,4,22,2.389625
4/23/18,2018,4,23,2.00771875
4/24/18,2018,4,24,2.002614583
4/25/18,2018,4,25,2.474458333
4/26/18,2018,4,26,2.588479167
4/27/18,2018,4,27,2.636375
4/28/18,2018,4,28,2.85321875
4/29/18,2018,4,29,2.85115625
4/30/18,2018,4,30,2.796916667
5/1/18,2018,5,1,3.048427083
5/2/18,2018,5,2,3.1740625
5/3/18,2018,5,3,3.027479167
5/4/18,2018,5,4,3.113270833
5/5/18,2018,5,5,3.30815625
5/6/18,2018,5,6,3.7386875
5/7/18,2018,5,7,3.563166667
5/8/18,2018,5,8,3.692864583
5/9/18,2018,5,9,3.67878125
5/10/18,2018,5,10,3.585739583
5/11/18,2018,5,11,3.30253125
5/12/18,2018,5,12,3.532354167
5/13/18,2018,5,13,3.517604167
5/14/18,2018,5,14,3.502854167
5/15/18,2018,5,15,4.06821875
5/16/18,2018,5,16,4.239458333
5/17/18,2018,5,17,4.262552083
5/18/18,2018,5,18,4.417416667
5/19/18,2018,5,19,4.320885417
5/20/18,2018,5,20,4.259739583
5/21/18,2018,5,21,4.38309375
5/22/18,2018,5,22,4.31965625
5/23/18,2018,5,23,4.020614583
5/24/18,2018,5,24,4.571375
5/25/18,2018,5,25,4.497583333
5/26/18,2018,5,26,4.967114583
5/27/18,2018,5,27,4.940291667
5/28/18,2018,5,28,4.8835625
5/29/18,2018,5,29,5.130260417
5/30/18,2018,5,30,5.09540625
5/31/18,2018,5,31,5.143927083
6/1/18,2018,6,1,5.026012351
